time;X_value;Y_value;Z_value
0,9853;0,60152;3,10548;-0,05535
0,9888;0,68093;2,86969;0,03628
0,9894;0,70781;2,76523;0,07477
0,997;0,73897;2,57097;0,14318
0,9971;0,73774;2,36694;0,19694
0,9971;0,71881;2,24905;0,21832
0,9971;0,64062;1,96255;0,25497
0,9997;0,57892;1,79823;0,26536
1,0018;0,42132;1,42743;0,27757
1,0028;0,21179;1,03526;0,27391
1,0058;0,09756;0,85078;0,2678
1,0087;-0,14984;0,52702;0,24581
1,009;-0,39602;0,28511;0,2116
1,0152;-0,51942;0,19654;0,19389
1,016;-0,87983;0,08231;0,11875
1,018;-0,87983;0,08231;0,11875
1,018;-1,10157;0,12385;0,05827
1,0191;-1,31049;0,22708;-0,00159
1,0209;-1,41189;0,30161;-0,03275
1,0235;-1,60492;0,47082;-0,08406
1,0255;-1,79429;0,66874;-0,12315
1,0294;-1,8847;0,76892;-0,14026
1,0294;-2,0704;0,97661;-0,1537
1,039;-2,25366;1,18431;-0,16286
1,0391;-2,43814;1,38467;-0,15309
1,0391;-2,53161;1,48424;-0,14331
1,0391;-2,61652;1,59176;-0,13232
1,0397;-2,77779;1,80189;-0,11094
1,0412;-2,93478;1,97477;-0,08223
1,0464;-3,00564;2,05296;-0,06756
1,0464;-3,13636;2,20079;-0,0529
1,0477;-3,24693;2,36328;-0,04985
1,0486;-3,2958;2,44697;-0,05718
1,0556;-3,38254;2,58075;-0,08589
1,0556;-3,44607;2,71453;-0,13476
1,0579;-3,4699;2,79088;-0,15797
1,0579;-3,50899;2,92405;-0,21784
1,0596;-3,52548;2,97109;-0,24838
1,0613;-3,54931;3,05722;-0,31435
1,0637;-3,56947;3,11281;-0,36567
1,0654;-3,58535;3,12869;-0,38399
1,0672;-3,60856;3,14213;-0,41087
1,0688;-3,62078;3,14091;-0,41759
1,0761;-3,6501;3,12808;-0,43164
1,0762;-3,68859;3,10059;-0,44019
1,0762;-3,68859;3,10059;-0,44019
1,0769;-3,71302;3,08104;-0,42859
1,0794;-3,73684;3,06028;-0,40782
1,0808;-3,74601;3,04989;-0,39255
1,083;-3,76311;3,03095;-0,34795
1,0848;-3,77838;3,01202;-0,32107
1,087;-3,80587;2,96132;-0,24655
1,0888;-3,82359;2,93444;-0,15003
1,0943;-3,82664;2,94177;-0,10116
1,0943;-3,77044;3,03401;0,01307
1,0972;-3,73318;3,08532;0,03506
1,0973;-3,68614;3,13969;0,05766
1,099;-3,5768;3,26125;0,09248
1,1008;-3,43263;3,39198;0,12791
1,1028;-3,35139;3,45489;0,14379
1,1053;-3,18645;3,57951;0,16762
1,1067;-3,10338;3,63082;0,17495
1,1097;-2,93417;3,6913;0,19938
1,1147;-2,75702;3,72001;0,23054
1,1147;-2,57681;3,71512;0,25925
1,1149;-2,48396;3,70168;0,26963
1,1167;-2,30314;3,65648;0,27818
1,1186;-2,21457;3,63082;0,2733
1,1209;-2,04108;3,57218;0,25742
1,1237;-1,96167;3,53797;0,2452
1,1256;-1,81323;3,46772;0,21649
1,1273;-1,67945;3,3877;0,18167
1,1289;-1,62142;3,35471;0,1609
1,1346;-1,52001;3,29912;0,1102
1,1346;-1,4406;3,23132;0,05583
1,1353;-1,40761;3,19589;0,0375
1,1369;-1,34653;3,12319;-0,00709
1,1399;-1,32332;3,0841;-0,03152
1,1409;-1,29522;3,01629;-0,08223
1,1444;-1,28117;2,96376;-0,13598
1,1452;-1,27811;2,94238;-0,16347
1,1479;-1,27994;2,9155;-0,20684
1,149;-1,29583;2,90145;-0,24777
1,1552;-1,30438;2,90206;-0,26793
1,1552;-1,34408;2,89595;-0,31802
1,1552;-1,35936;2,89045;-0,33635
1,1595;-1,37646;2,88435;-0,34917
1,1606;-1,41067;2,86602;-0,38338
1,1621;-1,42838;2,8538;-0,39804
1,1633;-1,46443;2,82082;-0,42736
1,1656;-1,50169;2,78294;-0,45852
1,1675;-1,51635;2,76156;-0,47196
1,1721;-1,55117;2,71819;-0,49761
1,1766;-1,57682;2,67665;-0,52022
1,1766;-1,59943;2,63328;-0,53304
1,1766;-1,60676;2,60946;-0,53915
1,1769;-1,61287;2,58502;-0,54465
1,1791;-1,62264;2,53432;-0,54526
1,1814;-1,62142;2,47323;-0,54404
1,1838;-1,62203;2,43903;-0,54282
1,1865;-1,61287;2,36939;-0,52571
1,1866;-1,59576;2,29853;-0,50556
1,1893;-1,58721;2,26371;-0,49212
1,1946;-1,56705;2,2014;-0,46463
1,1946;-1,53834;2,14581;-0,43164
1,1962;-1,52001;2,12443;-0,41515
1,1972;-1,49191;2,08595;-0,38766
1,199;-1,47359;2,06029;-0,36994
1,2008;-1,43694;1,99737;-0,33329
1,203;-1,39845;1,9259;-0,29358
1,2057;-1,38074;1,88986;-0,2777
1,2073;-1,34286;1,81961;-0,25021
1,2089;-1,32454;1,78662;-0,24349
1,2149;-1,29155;1,72981;-0,24044
1,2149;-1,26223;1,68705;-0,24166
1,2162;-1,24574;1,66872;-0,24044
1,2173;-1,22252;1,64673;-0,24166
1,2189;-1,2042;1,63513;-0,24472
1,2208;-1,1932;1,63452;-0,24533
1,2238;-1,17426;1,64307;-0,25021
1,2263;-1,16449;1,64979;-0,25205
1,2275;-1,14739;1,6675;-0,26182
1,2295;-1,13395;1,69621;-0,26976
1,235;-1,13211;1,70843;-0,27343
1,235;-1,1254;1,7463;-0,2832
1,235;-1,12478;1,75791;-0,28809
1,2371;-1,12601;1,76768;-0,28992
1,2394;-1,13089;1,7854;-0,29481
1,2414;-1,13945;1,80006;-0,30153
1,2436;-1,14311;1,80983;-0,30519
1,2455;-1,15594;1,82938;-0,31741
1,248;-1,16266;1,84038;-0,32413
1,2493;-1,17976;1,86481;-0,33757
1,2569;-1,19931;1,87825;-0,35284
1,2569;-1,22619;1,8923;-0,36933
1,2569;-1,23902;1,89719;-0,37422
1,2584;-1,26773;1,91063;-0,38644
1,2598;-1,28239;1,91612;-0,39193
1,2616;-1,31293;1,93384;-0,40293
1,2656;-1,32942;1,94361;-0,40721
1,2657;-1,36424;1,96499;-0,41026
1,2689;-1,39845;1,99493;-0,40659
1,269;-1,41495;2,01264;-0,40537
1,2762;-1,44976;2,05113;-0,3901
1,2762;-1,48886;2,09389;-0,36628
1,2762;-1,50169;2,11954;-0,35162
1,2781;-1,53223;2,16475;-0,3113
1,2787;-1,54628;2,18674;-0,28809
1,2822;-1,56644;2,23255;-0,238
1,2878;-1,5756;2,27287;-0,18302
1,2878;-1,57316;2,29059;-0,15186
1,2878;-1,57866;2,30464;-0,09078
1,2894;-1,57682;2,30769;-0,02725
1,2944;-1,57499;2,30158;0,00452
1,2944;-1,56766;2,2857;0,06805
1,2951;-1,55789;2,27531;0,09859
1,2973;-1,54201;2,24477;0,16456
1,3004;-1,51696;2,21239;0,2342
1,3028;-1,50719;2,19346;0,26597
1,3033;-1,48153;2,15558;0,33011
