time;X_value;Y_value;Z_value
Started:;окт. 16 2020;11:35:08:193; 
0,5141;-0,34439;-0,23931;0,04617
0,5157;-0,36089;-0,25153;0,05472
0,5157;-0,39143;-0,27597;0,07183
0,5177;-0,40731;-0,28757;0,07855
0,5205;-0,42991;-0,30712;0,09565
0,5214;-0,44458;-0,32545;0,11459
0,5239;-0,44824;-0,33217;0,12070
0,5252;-0,45496;-0,34438;0,13230
0,5281;-0,45435;-0,35110;0,13597
0,5346;-0,44763;-0,35965;0,14024
0,5346;-0,43297;-0,37432;0,14513
0,5346;-0,43297;-0,37432;0,14513
0,5367;-0,41281;-0,38531;0,13963
0,5387;-0,39082;-0,40425;0,13291
0,5452;-0,37799;-0,41158;0,12681
0,5453;-0,34928;-0,42685;0,12070
0,5461;-0,33645;-0,43601;0,11703
0,5467;-0,30713;-0,44640;0,10848
0,5479;-0,27537;-0,45739;0,09626
0,5546;-0,25765;-0,46350;0,09015
0,5546;-0,20817;-0,47572;0,06877
0,5546;-0,19412;-0,47938;0,06450
0,5577;-0,17396;-0,48061;0,05900
0,5595;-0,13914;-0,48305;0,04739
0,5600;-0,12509;-0,48305;0,04067
0,5615;-0,08722;-0,48366;0,03334
0,5640;-0,05118;-0,47572;0,02662
0,5661;-0,03102;-0,47083;0,02296
0,5679;0,00136;-0,45312;0,01685
0,5747;0,03679;-0,43174;0,00891
0,5747;0,07099;-0,40242;-0,00087
0,5747;0,08749;-0,38898;-0,00392
0,5763;0,10337;-0,37370;-0,00820
0,5781;0,13391;-0,34744;-0,01675
0,5805;0,16140;-0,32300;-0,02774
0,5815;0,17179;-0,30956;-0,03263
0,5845;0,19561;-0,28391;-0,04179
0,5855;0,21333;-0,25703;-0,04912
0,5881;0,22005;-0,24420;-0,05340
0,5946;0,23287;-0,21793;-0,06195
0,5946;0,23410;-0,19594;-0,06562
0,5946;0,23654;-0,18739;-0,07112
0,5962;0,23776;-0,17395;-0,07600
0,5980;0,23348;-0,16845;-0,08272
0,6003;0,23043;-0,15807;-0,09066
0,6022;0,21821;-0,15440;-0,10105
0,6063;0,21516;-0,15318;-0,10655
0,6063;0,19683;-0,15502;-0,11388
0,6076;0,17423;-0,15990;-0,12731
0,6157;0,16262;-0,16357;-0,13342
0,6157;0,12536;-0,17578;-0,14686
0,6158;0,12536;-0,17578;-0,14686
0,6158;0,10032;-0,18495;-0,15541
0,6176;0,06855;-0,19594;-0,15786
0,6200;0,06000;-0,20266;-0,16274
0,6233;0,02885;-0,21854;-0,16702
0,6243;0,00075;-0,23443;-0,16580
0,6256;-0,01330;-0,24054;-0,16580
0,6277;-0,03957;-0,25214;-0,16641
0,6369;-0,05179;-0,25764;-0,16885
0,6369;-0,08844;-0,27597;-0,16763
0,6369;-0,10005;-0,28391;-0,16519
0,6369;-0,11043;-0,29185;-0,16580
0,6386;-0,13365;-0,30773;-0,16336
0,6402;-0,15136;-0,33400;-0,15908
0,6432;-0,15747;-0,34866;-0,15297
0,6461;-0,17335;-0,37859;-0,15114
0,6461;-0,17274;-0,41097;-0,14442
0,6477;-0,17335;-0,42624;-0,13892
0,6547;-0,17457;-0,45923;-0,13159
0,6548;-0,16541;-0,48671;-0,12060
0,6548;-0,15747;-0,49954;-0,11937
0,6564;-0,14769;-0,52031;-0,10838
0,6588;-0,14220;-0,52764;-0,10899
0,6611;-0,12387;-0,53619;-0,09738
0,6616;-0,10921;-0,54047;-0,09433
0,6643;-0,09638;-0,53925;-0,09433
0,6655;-0,07683;-0,54108;-0,09005
0,6695;-0,06584;-0,53925;-0,08883
0,6730;-0,03774;-0,54291;-0,08700
0,6730;0,01357;-0,54719;-0,07478
0,6773;0,01357;-0,54719;-0,07478
0,6773;0,05023;-0,55269;-0,07722
0,6791;0,08749;-0,56307;-0,07967
0,6798;0,10826;-0,56979;-0,08089
0,6828;0,14308;-0,58751;-0,09127
0,6840;0,16140;-0,59789;-0,09677
0,6862;0,18706;-0,61377;-0,11754
0,6880;0,20783;-0,63027;-0,14198
0,6935;0,21638;-0,64004;-0,15908
0,6935;0,22188;-0,66997;-0,21650
0,6942;0,21394;-0,67914;-0,23971
0,6964;0,20111;-0,69197;-0,26598
0,6975;0,14796;-0,71151;-0,33318
0,7002;0,11376;-0,71579;-0,36738
0,7016;0,03373;-0,71579;-0,44069
0,7032;-0,06401;-0,72862;-0,52254
0,7059;-0,11288;-0,74083;-0,55309
0,7077;-0,19351;-0,75488;-0,59768
0,7150;-0,26742;-0,75672;-0,62639
0,7150;-0,37677;-0,74633;-0,66488
0,7151;-0,37677;-0,74633;-0,66488
0,7158;-0,44641;-0,73839;-0,68931
0,7176;-0,47512;-0,73961;-0,70153
0,7209;-0,51421;-0,75733;-0,71741
0,7222;-0,52949;-0,77565;-0,72535
0,7241;-0,55209;-0,80803;-0,73329
