time;X_value;Y_value;Z_value
Started:;окт. 22 2020;13:07:16:122; 
0,9521;-4,58982;2,64328;8,41109
0,9544;-4,59461;2,40864;8,22673
0,9609;-4,72151;1,87232;7,63295
0,9609;-4,72151;1,87232;7,63295
0,9617;-4,81249;1,74543;7,44380
0,9621;-4,91545;1,62332;7,24747
0,9661;-5,09741;1,37431;6,88354
0,9676;-5,03277;1,29291;6,73988
0,9695;-4,91305;1,27854;6,62496
0,9713;-4,54194;1,31446;6,74946
0,9733;-4,25702;1,34319;6,82608
0,9747;-3,58662;1,42459;7,04875
0,9805;-2,31048;1,57304;7,75266
0,9821;-2,31048;1,57304;7,75266
0,9821;-2,06147;1,59219;7,98251
0,9833;-1,64487;1,62332;8,21236
0,9845;-1,47248;1,66163;8,67206
0,9865;-1,17559;1,71670;9,09106
0,9899;-1,07024;1,71670;9,28739
0,9911;-0,95053;1,69994;9,68005
0,9931;-0,85236;1,67120;9,97455
0,9958;-0,80687;1,65205;10,07750
1,0002;-0,78053;1,57543;11,51886
1,0003;-0,88109;1,57543;12,17728
1,0011;-0,88109;1,59219;12,17728
1,0026;-1,25221;1,60656;13,25710
1,0052;-1,47248;1,61374;13,52765
1,0061;-1,87472;1,62092;13,73595
1,0093;-2,14527;1,56107;13,43188
1,0106;-2,21710;1,50360;13,23795
1,0125;-2,17879;1,34558;12,94345
1,0184;-1,93457;1,22826;12,70402
1,0201;-1,38150;0,90504;11,78941
1,0201;-1,38150;0,90504;11,78941
1,0201;-1,38150;0,90504;11,78941
1,0228;-1,18517;0,67758;11,38717
1,0260;-1,00560;0,43336;11,10225
1,0267;-0,93137;0,33280;10,98733
1,0279;-0,85715;0,14126;10,74072
1,0309;-0,89067;-0,08619;10,47495
1,0340;-0,94095;-0,21548;10,36721
1,0349;-1,11334;-0,44294;10,26186
1,0398;-1,48924;-0,75659;10,37679
1,0399;-1,48924;-0,75659;10,37679
1,0404;-1,60895;-0,84757;10,39115
1,0421;-1,71670;-0,90743;10,38397
1,0444;-1,95852;-1,06306;10,22116
1,0467;-2,44455;-1,32643;9,57231
1,0491;-2,81567;-1,46051;9,01684
1,0504;-3,59381;-1,75500;8,01843
1,0524;-3,63211;-1,75979;8,07828
1,0542;-3,35438;-1,47008;8,65051
1,0605;-2,50202;-1,33122;12,74233
1,0605;-2,50202;-1,33122;12,74233
1,0622;-2,33681;-1,31206;13,23316
1,0625;-2,03753;-1,29291;13,01528
1,0664;-1,93936;-1,29051;12,63698
1,0669;-1,85317;-1,23784;11,80138
1,0689;-1,94894;-1,23066;10,89634
1,0702;-2,11175;-1,21869;10,67128
1,0725;-2,45413;-1,07503;9,65850
1,0745;-2,57863;-0,95053;8,95459
1,0808;-2,71271;-0,45252;7,32648
1,0808;-2,71990;-0,37590;7,33127
1,0809;-2,71990;-0,37590;7,33127
1,0831;-2,64807;-0,23464;7,86759
1,0849;-2,53314;-0,16760;9,51485
1,0858;-2,51878;-0,16281;10,26426
1,0891;-2,44695;-0,00479;10,18046
1,0898;-2,38470;0,08380;9,46217
1,0928;-2,45892;-0,03591;8,12138
1,0946;-2,65286;-0,16999;7,54197
1,1009;-3,08143;-0,08141;5,83006
1,1009;-3,08143;-0,08141;5,83006
1,1009;-3,14129;-0,02634;5,19558
1,1026;-3,13171;0,04070;4,63771
1,1051;-2,94735;0,20830;4,17801
1,1067;-2,75581;0,30647;4,34082
1,1095;-2,34639;0,53632;5,30332
1,1106;-2,03274;0,76856;6,50046
1,1126;-1,92739;0,87391;7,01044
1,1148;-1,80768;1,04869;7,72154
